gender,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,Churn
Male,4.0,34.69,102.71,Two year,Fiber optic123,1.0
Male,55.0,56.56,3084.07,Month-to-month,DSL,0.0
Male,70.0,56.95,3964.32,One year@@,DSL,0.0
Male,55.0,39.33,2208.87,One year,Fiber optic,0.0
Male,49.0,109.32,5367.05,Month-to-month,Fiber optic,0.0
FEMALE,69.0,,3810.2,Month-to-month,Fiber optic,1.0
Female,25.0,22.75,541.54,Two year,DSL,0.0
Male,30.0,69.46,2097.37,month-to-month,Fiber optic,-999.0
Female,46.0,68.69,3203.41,Month-to-month,No,0.0
Male,69.0,29.8,2044.15,Two year,DSL,0.0
Male,42.0,107.53,161776.48260869563,Month-to-month,DSL,1.0
Male,28.0,38.88,1104.18,Two year,No,0.0
Female,19.0,44.8,857.34,One year,DSL,0.0
Female,52.0,-999.0,4635.51,One year,DSL,0.0
Male,15.0,,936.05,Month-to-month,No,0.0
Female,49.0,51.75,2582.86,Two year,Fiber optic,0.0
Male,15.0,65.05,1002.61,Two year,no,0.0
Female,56.0,,2835.09,Month-to-month,Fiber optic,0.0
Male,65.0,70.89,4621.74,Month-to-month,No,0.0
Male,48.0,116.74,5645.76,Month-to-month,No,0.0
Female,63.0,115.04,7285.39,Month-to-month,dsl,0.0
Female,31.0,111.46,3499.95,Month-to-month,DSL,1.0
Female,9.0,27.7,246.83,Two year,DSL,0.0
,68.0,77.86,5337.37,Two year,Fiber optic,0.0
Male,40.0,68.99,2753.41,One year,No,0.0
Male,32.0,73.67,2366.27,Month-to-month,DSL,1.0
Male,1.0,94.18,67.07,Month-to-month,No,1.0
Female,10.0,36.71,-999.0,Two year,DSL,0.0
Female,32.0,41.42,1285.13,One year,Fiber optic,0.0
Female,53.0,33.25,1777.6,One year,No,0.0
Male,52.0,68.04,3499.01,Two year,Fiber optic,1.0
Female,18.0,46.71,815.76,One year,DSL,0.0
Female,71.0,,6795.21,Month-to-month,DSL,1.0
Male###,31.0,83.99,,Month-to-month,Fiber optic,1.0
Male,22.0,89.12,1937.16,One year,DSL,0.0
Female,37.0,87.44,3284.82,One year,No,0.0
 Female ,20.0,65.24,1260.65,Month-to-month,Fiber optic,0.0
Male,41.0,90.89,3726.78,Month-to-month,DSL,0.0
Male,8.0,71.08,525.49,Two year,DSL,1.0
Male,52.0,67.24,3505.93,Month-to-month,No,0.0
Female,67.0,42.26,2853.04,One year,Fiber optic,1.0
Female,17.0,38.0,627.62,Two year,No,0.0
Male,2.0,89.91,229.43,One year,No,1.0
,65.0,86.0,5628.09,One year,DSL,0.0
,37.0,108.36,4029.67,Month-to-month,Fiber optic,1.0
Male,71.0,36.22,2609.43,One year,No,0.0
Male,71.0,69.72,4921.18,Month-to-month,Fiber optic,1.0
Female,,-999.0,5515.41,One year,Fiber optic,1.0
Female,36.0,73.35,2603.68,Month-to-month,DSL,0.0
,57.0,45.66,2553.59,Two year,No,1.0
Male,70.0,90.78,6319.41,Month-to-month,Fiber optic,1.0
Female,47.0,64.71,3016.32,Month-to-month,Fiber optic,1.0
Female,20.0,118.33,2397.68,Month-to-month,DSL,0.0
Male,23.0,66.94,1530.79,Two year,Fiber optic,0.0
Male,35.0,57.57,2052.17,Month-to-month,No,0.0
Male,,48.31,1285.59,One year,Fiber optic,1.0
Male,,46.72,1124.94,One year,Fiber optic,0.0
Female@@,66.0,88.87,5869.04,One year@@,No,0.0
,34.0,117.38,3967.47,Month-to-month,No,1.0
Female,45.0,46.18,2126.52,Two year,Fiber optic,1.0
Male,33.0,80.52,2659.15,Month-to-month,No,0.0
Male,47.0,86.93,4127.79,One year,DSL,0.0
Male,39.0,-999.0,2323.01,Two year,Fiber optic,0.0
Male,25.0,86.42,2178.23,One year,No,0.0
Female,52.0,38.23,1958.98,two year,DSL,0.0
Female,60.0,70.54,4233.52,One year,Fiber optic,0.0
Male,999999.0,69.83,,,No,1.0
Male,40.0,60.31,2367.02,Month-to-month,DSL,0.0
Male,59.0,64.54,3829.69,One year, No ,0.0
Female,32.0,98.13,3179.43,Month-to-month???,No,0.0
,55.0,106.29,5865.54,Month-to-month,DSL,1.0
Male,16.0,78.08,1266.04,One year,DSL,0.0
Female,57.0,73.52,4183.31,Two year,No,0.0
Female,21.0,47.0,1012.18,Two year,Fiber optic,0.0
Female,67.0,44.35,2965.44,One year,No,0.0
Male,35.0,83.58,2883.36,One year,Fiber optic,1.0
Female,20.0,23.85,467.76,Two year,DSL,0.0
Female,8.0,77.26,645.06, Month-to-month ,Fiber optic,0.0
Male123,49.0,86.56,4221.3,One year,DSL,0.0
Female,69.0,,3651.46,Two year,No,999999.0
Male,35.0,31.74,1094.51,One_year,Fiber optic,0.0
Female,22.0,88.84,1957.89,One year,DSL,0.0
Male,,28.14,305.71,Two year,Fiber optic,1.0
Female,42.0,72.88,3087.08,Month-to-month,Fiber optic,1.0
Female,33.0,685719.3398092574,1698.82,,Fiber optic,0.0
Female,29.0,66.87,1954.41,Two year,DSL,0.0
Male,26.0,60.67,1540.04,Month-to-month,No,0.0
Male,60.0,66.01,3927.38,Two year,Fiber optic,0.0
Male,21.0,64.72,1402.01,One year,DSL,0.0
Female,51.0,24.56,1271.62,Two year,DSL,0.0
male,39.0,68.33,999999.0,Two year,No,0.0
Male,45.0,59.69,2642.95,Two year,Fiber optic,0.0
Male,54.0,56.01,3010.76,One year,DSL,0.0
Female,,999999.0,1527.15,One year,DSL,0.0
Female,,65.55,3915.23,One year,no,0.0
Male,36.0,75.03,2708.06,One_year,DSL,0.0
Female,4.0,40.91,134.85,One year,Fiber optic,0.0
Female,36.0,72.81,2626.74,Two year,NO123,0.0
Male,11.0,78.45,868.47,Month-to-month,No,1.0
Female,63.0,35.58,2213.7,,DSL,0.0
Female,48.0,61.86,-999.0,One year,No,0.0
,46.0,36.25,-999.0,Two year,Fiber optic,1.0
Male,41.0,87.51,3614.13,Month-to-month###,No,1.0
Male,62.0,65.38,4079.58,One year???,No,0.0
Male,25.0,51.65,1271.48,One year,DSL,0.0
Male,36.0,88.74,3214.38,Month-to-month,DSL,1.0
Female,14.0,69.9,976.47,Month-to-month,No,1.0
,33.0,79.33,2607.96,One_year,DSL@@,1.0
Male,20.0,116.44,2287.32,Month-to-month,No,1.0
,29.0,,1358.14,Two year,Fiber optic,0.0
Female,40.0,23.61,990.41,Two year,No,1.0
Male,,34.87,950.35,One year,No,0.0
Male,1.0,71.36,68.35,One year,Fiber optic,1.0
Female,37.0,24.27,871.33,,Fiber optic,1.0
Male,55.0,65.74,3580.6,Month-to-month,No,1.0
Male,10.0,105.48,1064.3,Month-to-month,DSL,1.0
Female,57.0,98.21,5617.94,Month-to-month,Fiber optic,0.0
Female,57.0,52.79,3002.23,Month-to-month@@,No,1.0
Female,999999.0,117.33,502.92,Month-to-month,DSL,1.0
Male,35.0,65.79,2270.17,Two year,DSL,0.0
Female,36.0,80.51,2929.78,Month-to-month,no,0.0
Female,45.0,49.26,2177.16,One year,Fiber optic,1.0
Female,64.0,86.71,5580.8,One year,No,0.0
Female,12.0,49.4,639.82,One year,Fiber optic,0.0
Male,70.0,33.25,2329.34,One year,Fiber optic,0.0
Female,57.0,68.69,3878.43,,DSL,1.0
Female,999999.0,92.62,1455.85,Month-to-month,No,1.0
Male,71.0,43.48,3121.22,One year,DSL,1.0
Male,20.0,47.51,970.74,One year,No,0.0
Female,61.0,88.59,5392.35,Month-to-month,Fiber optic,0.0
Male,9.0,50.39,482.28,One year,fiber optic,1.0
Male,37.0,70.25,2607.24,Two year,Fiber optic,-999.0
Male,58.0,40.71,2366.37,Two year,Fiber optic,0.0
Female,42.0,-999.0,2790.54,,No,0.0
Female,,58.38,391.62,One year, No ,1.0
Male,64.0,85.16,5459.26,Month-to-month???,DSL,0.0
Female,13.0,20.92,236.38,Two year,Fiber optic,0.0
Male,10.0,50.31,522.37,One year,Fiber optic,0.0
Female,69.0,999999.0,4703.83,One year,Fiber optic,0.0
Male,999999.0,97.91,859.93,Month-to-month,No,1.0
Male,56.0,99.27,5519.17,Month-to-month,No,127351.5708727972
Female,4.0,105.73,402.26,Month-to-month,Fiber optic123,1.0
Male,212882.73714145768,53.96,1755.97,Two year,Fiber optic,1.0
Male,49.0,34.45,1729.33,Two year,No,1.0
Female,33.0,70.01,2350.22,One year,Fiber optic,0.0
Female,70.0,80.92,5648.96,Month-to-month,DSL,1.0
Female,33.0,41.95,1372.82,One year,Fiber optic,0.0
Male,49.0,54.49,2719.28,Two year,Fiber optic,699998.067008236
Female,36.0,110.55,4007.63,Month-to-month,No,0.0
Female,37.0,,3899.08,Month-to-month,No,1.0
Female,18.0,74.2,1350.23,Two year,DSL,0.0
Female,5.0,63.94,278.71,Two year,Fiber optic,1.0
Female,23.0,105.06,2454.03,Month-to-month,DSL,1.0
Female,22.0,88.04,1916.39,One year,Fiber optic,0.0
Male,60.0,102.79,6139.96,Month-to-month,DSL,1.0
Female,999999.0,77.44,5527.07,One year,DSL,0.0
